code,meigara,kana,kuramoto,ken,shi,address¥n1235,京極,きょうごく,二世古酒造,北海道,虻田郡,北海道虻田郡倶知安町旭47
154,津軽海峡,つがるかいきょう,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217
3569,荒馬,あらま,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217
3570,蔵子,くらこ,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217
13,じょっぱり,じょっぱり,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217
2757,龍飛,たっぴ,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217
3565,玉川,たまかわ,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
3567,津軽蔵人,つがるくろうど,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
3564,斬,ざん,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
2329,津軽じょんがら,つがるじょんがら,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
3566,蟹田,かにた,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
2330,華一風,はないっぷう,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
1098,豊盃,ほうはい,三浦酒造,青森県,弘前市,青森県弘前市石渡5-1-1
153,北のまほろば,きたのまほろば,齋藤酒造店,青森県,弘前市,青森県弘前市駒越町58
2951,刑事,でか,齋藤酒造店,青森県,弘前市,青森県弘前市駒越町58
2761,六根,ろっこん,齋藤酒造店,青森県,弘前市,青森県弘前市駒越町58
12,松緑,まつみどり,齋藤酒造店,青森県,弘前市,青森県弘前市駒越町58
17,明ケ烏,あけがらす,長内酒造店,青森県,つがる市,青森県つがる市稲垣町沼崎幾代崎121-4
3533,善知鳥,うとう,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46
152,喜久泉,きくいずみ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46
1538,外ヶ濱,そとがはま,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46
11,田酒,でんしゅ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46
3751,ブナの白神,ぶなのしらかみ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3568,白神山地の湧き水で仕込んだお酒,しらかみさんちのわきみずでしこんだおさけ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
16,安東水軍,あんどうすいぐん,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3752,白神山地の橅,しらかみさんちのぶな,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3750,神の座,かみのざ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3749,岩木川,いわきがわ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3748,白神の金鮎,しらかみのきんあゆ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
2929,鯵ヶ澤,あじがさわ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
156,白神のしずく,しらかみのしずく,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3538,七郎兵衛,しちろべえ,竹浪酒造店,青森県,北津軽郡,青森県北津軽郡板柳町板柳字土井113-1
15,岩木正宗,いわきまさむね,竹浪酒造店,青森県,北津軽郡,青森県北津軽郡板柳町板柳字土井113-1
160,稲川,いながわ,八戸酒類 第二工場,青森県,三戸郡,青森県第二工場〒039-1202 青森県
