sakecode,sakename,meigaracode,syurui,genryoumai,seimaibuai,nihonsyudo,sando,aminosando,amakardo,noutando,alcohol
2378,大山 純米吟醸 封印酒,236,純米吟醸,,,,,,,,
6939,大山 純米吟醸 大希望,236,純米吟醸,,,,,,,,
2386,大山 純米吟醸 吟水花,236,純米吟醸,美山錦,55,4,1.3,,-0.29,-0.76,
2372,大山 特別純米酒 超辛口,236,特別純米酒,,60,11,1.2,,-0.82,-1.26,15.5
6940,大山 特別純米酒 十水,236,特別純米酒,はえぬき（山形県産）,60,-3.5,,,,,15.45
6941,大山 特別純米酒 生酒,236,特別純米酒 生酒,出羽の里（山形県産）,60,3,1.7,,-0.66,0.04,15.5
2373,大山 特別純米酒,236,特別純米酒,はえぬき、ひとめぼれ、はえぬき,60,,,,,,
6942,大山 夏の特別純米酒,236,特別純米酒,はえぬき（山形県産）,60,,,,,,13
8841,大山 夏の雪,236,特別純米酒 にごり酒,はえぬき（山形県産）,60,,,,,,
2374,大山 特別本醸造 超辛口,236,特別本醸造,,,10,1.05,,,,
2377,大山 本醸造 ささの舞,236,本醸造,キヨニシキ,65,8.5,1.2,,-0.59,-1.15,15.5
2375,大山 本醸造,236,本醸造,,,8,0.75,,,,
2384,大山 本醸造 辛口 地乃酒,236,本醸造,,70,,,,,,
5742,和田来 純米大吟醸 亀の尾,2883,純米大吟醸,亀の尾（山形県）,,1,1.3,,-0.01,-0.62,
5740,和田来 大吟醸,2883,大吟醸,出羽燦々（山形県産）、はえぬき（山形県産）,50,3.5,1,,0.11,-1.3,15.5
5741,和田来 特別純米,2883,特別純米酒,出羽の里（山形県産）,60,-0.5,1.2,1.1,0.24,-0.74,15.5
9161,ORBIA LUNA 貴醸酒,3709,貴醸酒,麹米：酒の華（山形県産）、掛米：雪化粧（山形県産）,38,,,,,,15
2564,出羽ノ雪 貴醸酒 醴酒,73,貴醸酒,雪化粧（山形県産）,65,-30,2.5,2.6,1.54,3.07,16.3
2555,出羽ノ雪 貴醸酒,73,貴醸酒,雪化粧（山形県産）,60,45,3,3,-5.95,0.64,16.3
2556,出羽ノ雪 大吟醸 酒のいのち,73,大吟醸,山田錦（兵庫県産）,35,1.5,1.3,1.1,-0.06,-0.64,15.8
2561,出羽ノ雪 純米大吟醸 壺中之天,73,純米大吟醸,美山錦,45,1.5,1.3,,-0.06,-0.64,
2562,出羽ノ雪 純米吟醸 無垢之酒,73,純米吟醸生原酒,美山錦,50,,,,,,16.5
2563,出羽ノ雪 吟醸酒 にごり酒 六十里越街道,73,吟醸 にごり酒,美山錦,60,3.5,1.4,1.1,-0.36,-0.55,15.5
2565,出羽ノ雪 吟醸生原酒,73,吟醸生原酒,,,0.5,1.2,1,0.15,-0.79,17.5
2560,出羽ノ雪 純米酒 原酒,73,純米生原酒,美山錦,63,1.5,1.5,,-0.29,-0.27,
2557,出羽ノ雪 自然酒,73,特別純米酒,ササニシキ,60,1,1.6,1.6,-0.36,-0.06,15.3
2558,出羽ノ雪 純米酒,73,純米酒,美山錦,63,1.5,1.5,1.5,-0.29,-0.27,14.8
2559,出羽ノ雪 本醸造,73,本醸造,美山錦,63,2.5,1.3,1.2,-0.15,-0.69,15.3
6740,羽前白梅 純米吟醸 ちろり,237,純米吟醸,美山錦、山田錦,50,4,1.3,,-0.29,-0.76,15.3
581,羽前白梅 純米大吟醸,237,純米大吟醸,山田錦,40,4,,1.3,,,16.5
580,羽前白梅 大吟醸 百花夢一輪 ,237,大吟醸,山田錦,40,4,,1.2,,,17.5
583,羽前白梅 純米酒 尾浦城,237,純米酒,どまんなか,70,3,,1.8,,,14.8
582,羽前白梅 純米吟醸 しぼりたて原酒 俵雪,237,純米吟醸,出羽燦々,50,5,,1.3,,,16.5
5566,栄光冨士 大吟醸 5年古酒 秘蔵酒,72,大吟醸 5年古酒,山田錦（兵庫県産）,35,-4.5,1.1,0.9,0.73,-0.75,16.8
5564,栄光冨士 純米大吟醸 紅葉に鹿ラベル,72,純米大吟醸,山田錦（兵庫県産）,35,2.5,1.3,0.9,-0.15,-0.69,16.2
5565,栄光冨士 大吟醸 古酒屋のひとりよがり,72,大吟醸,山田錦（兵庫県産）,40,5,1.2,0.75,-0.27,-0.99,16.7
5563,栄光冨士 純米大吟醸 特撰,72,純米大吟醸,酒造好適米,50,,,,,,
5562,栄光冨士 純米大吟醸 Snake Eye,72,純米大吟醸 無濾過 生原酒,つや姫,40,-2,1.7,0.9,-0.2,0.27,16.5
6877,栄光冨士 SURVIVAL 玉苗,72,純米大吟醸 無濾過 生原酒,玉苗,50,0,1.4,,-0.03,-0.39,16.5
6477,栄光冨士 七星,72,純米大吟醸 生原酒,出羽の里（山形県産）,50,-2,1.3,,0.27,-0.49,16
8840,栄光冨士 煌凛,72,純米大吟醸 無濾過 生原酒,出羽燦々（山形県産）,50,-3,1.5,1.2,0.13,-0.06,16
5569,栄光冨士 純米吟醸 心鍵,72,純米吟醸,,50,4,1.25,1,-0.23,-0.85,15.6
6478,栄光冨士 吟醸 なまいき,72,吟醸 生,,50,,,,,,15.5
6476,栄光冨士 純米酒 なまいき,72,純米酒 生酒,国産米,70,,,,,,14.5
5567,栄光冨士 おりがらみ 白燿,72,純米吟醸 無濾過 生原酒 おりがらみ,美山錦（長野県産）,60,2,1.3,0.9,-0.1,-0.67,16.8
5568,栄光冨士 しぼりたて 仙龍,72,純米吟醸 無濾過 生原酒,美山錦（長野県産）,60,3,1.3,1,-0.2,-0.71,16.8
5570,栄光冨士 純米酒 純月,72,純米酒,出羽の里（山形県産）,60,1,1.4,,-0.13,-0.43,15.5
5571,栄光冨士 本醸造 上撰,72,本醸造,ひとめぼれ,60,9.5,1,1,-0.45,-1.57,15.6
5572,栄光冨士 万流,72,,加工米,65,3,0.9,1,0.27,-1.46,14.7
1245,上喜元 大吟醸 新酒鑑評会 金賞受賞酒,224,大吟醸,山田錦,40,4,1.3,,-0.29,-0.76,17.5
1236,上喜元 大吟醸 限定品,224,大吟醸,山田錦,40,4,1.3,0.9,-0.29,-0.76,16.8
1240,上喜元 純米吟醸 青帽,224,純米大吟醸 三年熟成酒,山田錦,50,2,1.2,,0.01,-0.85,16.7
1247,上喜元 純米大吟醸 山田錦40 吊り下げ,224,,山田錦,40,3,1.4,1.1,-0.31,-0.52,16.5
1554,上喜元 純米大吟醸 雄町40 吊り下げ,224,純米大吟醸,雄町,40,2,,,,,16.5
1561,上喜元 純米吟醸 山田錦 しずく取り,224,純米吟醸,山田錦,50,1,1.6,,-0.36,-0.06,16.9
1239,上喜元 純米大吟醸,224,純米大吟醸  二年熟成酒,山田錦,50,3,1.4,,-0.31,-0.52,16.3
1560,上喜元 大吟醸 雄町,224,大吟醸,雄町,40,3,1.2,,-0.08,-0.9,17.5
1237,上喜元 手造り 大吟醸,224,大吟醸,山田錦,45,4,1.3,1,-0.29,-0.76,16.5
1542,上喜元 純米大吟醸 出羽燦々35 吊り下げ 斗瓶囲い,224,純米大吟醸,出羽燦々,35,,,,,,
1248,上喜元 純米吟醸 雄町 中採り,224,純米吟醸,雄町,,,,,,,
1555,上喜元 純米大吟醸 山田錦,224,純米大吟醸,山田錦,50,4,1.5,1,-0.52,-0.38,16.1
1242,上喜元 純米吟醸 雄町,224,純米吟醸,雄町,50,1,1.3,1.1,-0.01,-0.62,16.2
1249,上喜元 純米吟醸 八反,224,純米吟醸,八反錦,48,2,1.4,,-0.22,-0.48,16.8
1544,上喜元 上亀元 純米吟醸 亀の尾,224,純米吟醸,亀の尾,55,4,1.5,,-0.52,-0.38,16.7
1557,上喜元 純米吟醸 恋雄町,224,純米吟醸,恋雄町,50,0,1.6,1,,,16.3
1252,上喜元 特別純米 山田錦60,224,特別純米酒,山田錦,60,4,1.3,,-0.29,-0.76,16.4
1553,上喜元 純米吟醸 五百万石,224,純米吟醸,五百万石,50,1.5,1.5,,-0.29,-0.27,16.3
1546,上喜元 吟醸 からくち男酒 +15,224,吟醸,,,,,,,,
1241,上喜元 純米吟醸,224,純米吟醸,美山錦,50,2,1.2,,0.01,-0.85,15.6
1250,上喜元 純米吟醸 出羽燦々 太古米,224,純米吟醸,出羽燦々,50,2,1.4,,-0.22,-0.48,15.8
1556,上喜元 純米吟醸 吟ぎんが,224,純米吟醸,吟ぎんが,50,3,1.5,1.1,-0.43,-0.34,16.5
1547,上喜元 純米吟醸 完全発酵 超辛,224,純米吟醸,五百万石,50,15,1.2,,-1.18,-1.44,16.5
1550,上喜元 純米吟譲 米ラベル,224,純米吟醸,雄山錦,55,4,1.6,,-0.64,-0.19,16.5
1238,上喜元 生酛吟醸,224,吟醸酒,美山錦,50,2,1.3,,-0.1,-0.67,15.5
1548,上喜元 特別純米 五百万石100%,224,特別純米酒,五百万石,,,,,,,
1552,上喜元 純米 雄町,224,純米酒,雄町,,,,,,,
1559,上喜元 特別純米酒 にごり酒,224,特別純米にごり酒,出羽燦々,,,,,,,
1558,上喜元 純米にごり酒,224,純米吟醸にごり酒,美山錦,55,2,1.4,1.1,-0.22,-0.48,16.4
1543,上喜元 特別純米 美山錦,224,特別純米酒,美山錦,,,,,,,
1545,上喜元 特別純米 からくち,224,特別純米酒,美山錦、雪化粧,55,12,1.2,1.1,-0.91,-1.3,16.2
1243,上喜元 生酛純米,224,純米,美山錦,55,2,1.5,1.2,-0.34,-0.29,15.5
1244,上喜元 特撰 酒造り杜氏入魂酒 蔵酒,224,,雪化粧,60,2,1.5,,-0.34,-0.29,18.5
1253,上喜元 特別本醸造 五百万石,224,特別本醸造,五百万石,58,5,1.5,1.1,-0.61,-0.43,18.2
1551,上喜元 もち米四段仕込 純米酒 ,224,,出羽燦々95%、でわのもち5%,55,2.5,1.5,1.3,-0.38,-0.31,15.2
1549,上喜元 お燗純米酒 山田錦,224,純米酒,山田錦,65,2.5,1.5,1.1,-0.38,-0.31,14.3
2268,占飲 大吟醸,1155,大吟醸,山田錦,40,5,1.2,,-0.27,-0.99,15.5
2269,占飲 純米辛口,1155,純米酒,出羽燦々,60,5,1.4,,-0.5,-0.61,15.5
2270,占飲 特別本醸造 極辛原酒,1155,特別本醸造,雪化粧,70,11,1.6,,-1.28,-0.51,19.45
2266,清泉川 大吟醸 斗瓶どり,222,大吟醸,山田錦,35,6,1.2,,-0.36,-1.04,16.45
577,清泉川 大吟醸,222,大吟醸,山田錦,25,5,,1.3,,,16.5
579,清泉川 大吟醸 金の蔵,222,大吟醸,山田錦,40,6,1.3,,-0.47,-0.85,15.45
578,清泉川 純米吟醸 銀の蔵,222,純米吟醸,出羽燦々,50,3,1.4,,-0.31,-0.52,15.45
2267,清泉川 本醸造 槽前酒,222,本醸造,,70,3,1.6,,-0.54,-0.15,19.2
6482,摩耶山 純米大吟醸,3276,純米大吟醸,,,,,,,,
6480,摩耶山 にごり酒,3276,にごり酒,,,,,,,,
6483,摩耶山 蔵出し原酒,3276,原酒,,,,,,,,
6479,摩耶山 しぼりたて,3276,,,,,,,,,
6481,摩耶山 本醸造,3276,本醸造,,,,,,,,
720,初孫 大吟醸 仙寿,228,大吟醸,山田錦,35,4,1.2,0.9,-0.17,-0.95,16.5
721,初孫 大吟醸,228,大吟醸,山田錦,40,5,1.3,1,-0.38,-0.8,16.5
722,初孫 純米大吟醸 祥瑞,228,純米大吟醸,山田錦,50,4,1.3,1,-0.29,-0.76,16.5
728,初孫 古酒三歳,228,古酒,,,1,1.6,1.8,-0.36,-0.06,18.5
724,初孫 純米吟醸 夢工房,228,純米吟醸酒,美山錦,55,4,1.3,1.1,-0.29,-0.76,15.5
730,初孫 純米吟醸 砂潟,228,純米吟醸,出羽燦々,55,3,1.6,,-0.54,-0.15,17.5
723,初孫 純米吟醸 いなほ,228,純米吟醸酒,美山錦,55,4,1.4,,-0.4,-0.57,15.5
729,初孫 純米吟醸 しぼりたて,228,純米吟醸,出羽燦々（山形県産）,55,4,1.4,1.3,-0.4,-0.57,15.5
725,初孫 純米本辛口 魔斬,228,純米酒,美山錦,60,8,1.5,,-0.89,-0.56,15.5
726,初孫 きもと純米酒,228,,美山錦,60,2,1.4,1.6,-0.22,-0.48,15.3
727,初孫 特別本醸造 峰の雪渓,228,特別本醸造,美山錦,60,4,1.3,,-0.29,-0.76,15.5
1702,樽平 純米大吟醸,246,純米大吟醸,山田錦（兵庫県産）,40,5.5,1.4,,,,15.1
1705,樽平 特別純米酒 金,246,特別純米酒,山田錦（兵庫県産）,60,3,1.5,,-0.43,-0.34,16.1
1706,樽平 特別純米酒 極上銀,246,特別純米酒,美山錦（山形県産）,60,3,1.9,2.4,-0.89,0.42,15.5
1707,樽平 特別純米酒 銀,246,特別純米酒,ササニシキ（山形県産）,60,3,1.8,,-0.78,0.23,15.3
1708,樽平 特別純米酒,246,特別純米酒,コシヒカリ（山形県産）,60,3,,,,,15.5
1704,樽平 特別純米原酒 銀,246,特別純米原酒,ササニシキ（山形県産）,60,3,,,,,18.5
1709,樽平 特別純米酒 古酒,246,特別純米古酒,山田錦（兵庫県産）,60,3,,,,,16.1
1703,樽平 特別純米原酒 極掬粋,246,特別純米原酒,山田錦（兵庫県産）,60,3,,,,,18.5
976,住吉 純米大吟醸,247,純米大吟醸,山田錦（兵庫県産）,40,6.5,1.4,,,,15.1
978,住吉 特別純米酒 金,247,純米酒,山田錦（兵庫県産）,60,5,1.5,,-0.61,-0.43,16.1
979,住吉 特別純米酒 極上銀 +5,247,純米酒,美山錦（山形県産）,60,5,1.7,,-0.85,-0.05,15.5
982,住吉 特別純米酒 超辛口 +10（コシヒカリ）,247,純米酒,コシヒカリ（山形県産）,60,10,1.7,,-1.31,-0.28,15.5
980,住吉 特別純米酒 銀 辛口 +5,247,純米酒,ササニシキ（山形県産）,60,5,1.8,,-0.96,0.14,15.3
985,住吉 特別純米酒 銀 極辛口 +7,247,純米酒,ササニシキ（山形県産）,60,7,1.8,,-1.15,0.05,15.1
984,住吉 特別本醸造,247,本醸造,,60,5,1.4,,-0.5,-0.61,15.1
981,住吉 特別純米酒 極辛口,247,純米酒,はえぬき（山形県産）,60,7,,,,,15.1
977,住吉 特別純米原酒 銀,247,純米原酒,ササニシキ（山形県産）,60,5,,,,,18.5
983,住吉 特別純米酒（コシヒカリ）,247,純米酒,コシヒカリ（山形県産）,60,5,,,,,15.5
4961,飯豊山 大吟醸,1846,大吟醸,山田錦,35,,,,,,15.5
4962,飯豊山 秘蔵大吟醸,1846,大吟醸 熟成酒,山田錦,,,,,,,15.5
4963,飯豊山 本醸造,1846,本醸造,はなの舞,65,,,,,,15.6
4964,飯豊山 普通酒 精選,1846,普通酒,,70,,,,,,15.2
4965,飯豊山 ワンカップ,1846,普通酒,,,,,,,,
4951,若乃井 寒仕込み 大吟醸,1845,大吟醸,山田錦,35,,,,,,17.5
4952,若乃井 純米吟醸 生,1845,純米吟醸,,50,,,,,,14.5
4953,若乃井 特別純米酒,1845,特別純米酒,,60,,,,,,15.5
4955,若乃井 特別本醸造,1845,特別本醸造,,60,,,,,,15.5
4956,若乃井 本醸造 上選,1845,本醸造,,,,,,,,15.5
4957,若乃井 原酒 にごり酒,1845,原酒 にごり酒,,,,,,,,20.5
4958,若乃井 くらまえ酒 そのまんま,1845,原酒,,,,,,,,19.5
4959,若乃井 普通酒 精選,1845,普通酒,,70,,,,,,15.5
4960,若乃井 普通酒 精選 地酒,1845,普通酒,,70,,,,,,15.2
4954,若乃井 純米酒,1845,純米酒,,60,,,,,,15.5
1338,辯天 特撰大吟醸 中取り原酒 酒中楽康 ,1099,大吟醸原酒,山田錦（兵庫県産）,35,5,1.3,1,-0.38,-0.8,18.5
1342,辯天 大吟醸 酒中楽康,1099,大吟醸,山田錦（兵庫県産）,35,5,1.1,1.1,-0.15,-1.18,16.5
1337,辯天 純米大吟醸 酒中楽康,1099,純米大吟醸,出羽燦々（山形県産）,40,3,1.35,1.4,,,15.5
1343,辯天 純米吟醸 酒中楽康,1099,純米吟醸,出羽燦々（山形県産）,50,5,1.3,1.5,-0.38,-0.8,15.5
1345,辯天 冷やおろし 純米吟醸 酒中楽康,1099,純米吟醸,出羽燦々（山形県産）,50,3,1.3,,-0.2,-0.71,
1339,辯天 香りの純米酒 はなの舞 ,1099,純米酒,はなの舞,55,0,1.35,,,,15.5
1340,辯天 辛口純米酒 加良志酒 ,1099,純米酒,ササニシキ,55,7.5,1.3,,,,15.5
1344,辯天 しぼりたて原酒 にごり酒,1099,本醸造にごり酒,はなの舞（山形県産）,50,3,,,,,18.5
1341,辯天 特別本醸造 ,1099,特別本醸造 ,はなの舞,60,2,1.3,,-0.1,-0.67,15.5
8884,あら玉（山形県） 名刀 月山丸,220,大吟醸,山田錦,35,5,1.3,,-0.38,-0.8,16.5
8880,あら玉（山形県） 純米大吟醸 雪女神,220,純米大吟醸,雪女神,40,-1,1.4,,0.06,-0.34,15
8883,あら玉（山形県） 純米大吟醸 啓翁桜,220,純米大吟醸,改良信交,40,3,1.4,,-0.31,-0.52,15.5
8885,あら玉（山形県） 大吟醸 改良信交,220,大吟醸,改良信交,40,5,1.3,,-0.38,-0.8,16.5
8881,あら玉（山形県） 純米大吟醸 改良信交,220,純米大吟醸,改良信交,40,3,1.4,,-0.31,-0.52,15.5
8882,あら玉（山形県） 純米大吟醸 出羽燦々,220,純米大吟醸,出羽燦々,40,3,1.4,,-0.31,-0.52,15.5
8888,あら玉（山形県） 純米吟醸 亀の尾,220,純米吟醸,亀の尾,55,3,1.5,,-0.43,-0.34,15.5
8889,あら玉（山形県） 純米吟醸 玉花精,220,純米吟醸,出羽燦々（太古活性農法により栽培）,55,3,1.4,,-0.31,-0.52,15.5
8886,あら玉（山形県） 純米吟醸 出羽燦々,220,純米吟醸,出羽燦々,50,3,1.5,,-0.43,-0.34,15.5
8897,あら玉（山形県） 純米吟醸 夏のうすにごり,220,純米吟醸,出羽燦々,55,3,1.5,,-0.43,-0.34,15.5
8887,あら玉（山形県） 純米吟醸 つや姫,220,純米吟醸,つや姫,55,0,1.4,,-0.03,-0.39,15.5
8890,あら玉（山形県） 特別純米酒 改良信交,220,特別純米酒,改良信交,60,3,1.5,,-0.43,-0.34,15.5
8896,あら玉（山形県） 鬼王丸 赤鬼,220,本醸造 原酒 3年熟成,,70,15,1.6,,-1.65,-0.69,19
8891,あら玉（山形県） 特別純米酒 出羽の里,220,特別純米酒,出羽の里,60,3,1.5,,-0.43,-0.34,15.5
8893,あら玉（山形県） 特選,220,,改良信交,60,3,1.4,,-0.31,-0.52,16.5
8892,あら玉（山形県） 鬼王丸 青鬼,220,純米酒,出羽の里,70,10,1.5,,-1.07,-0.65,15
8894,あら玉（山形県） 上撰,220,,,65,2,1.4,,-0.22,-0.48,15.5
8895,あら玉（山形県） 精撰,220,,,70,1,1.4,,-0.13,-0.43,15.5
3709,山吹極 純米大吟醸 無濾過 原酒,1297,純米大吟醸 無濾過 原酒,出羽燦々（山形県産）,40,4,1.5,1.1,-0.52,-0.38,18.1
3712,山吹極 純米吟醸 無濾過 原酒 亀の尾,1297,純米吟醸 無濾過 原酒,亀の尾（山形県産）,50,2,1.5,1.5,-0.34,-0.29,17.5
3711,山吹極 純米吟醸 無濾過 本生,1297,純米吟醸 無濾過 本生,山酒4号,50,3,1.4,1.5,-0.31,-0.52,18.1
3714,山吹極 特別純米酒 無濾過 生原酒,1297,特別純米酒 無濾過 生原酒,山酒4号,55,4,1.6,,-0.64,-0.19,18.3
3713,山吹極 純米 無濾過 本生,1297,純米 無濾過 本生,山酒4号,60,5,1.8,1.4,-0.96,0.14,19.6
3710,山吹極 生酛純米 無濾過 原酒,1297,生酛純米 無濾過 原酒,山酒4号,60,9.5,2.1,1.7,-1.72,0.5,19.1
7588,山法師 大黒,3512,純米大吟醸,出羽燦々,40,-0.5,1.3,,0.13,-0.55,15.8
7589,山法師 恵比寿,3512,大吟醸,出羽燦々,40,-0.5,1.3,,0.13,-0.55,15.8
7590,山法師 純米大吟醸,3512,純米大吟醸,出羽燦々,50,-1,1.3,,0.18,-0.53,14.8
7591,山法師 大吟醸,3512,大吟醸,出羽燦々,50,2.5,1.2,,-0.03,-0.88,14.8
7594,山法師 純米吟醸 原酒 生詰,3512,純米吟醸 原酒 ひやおろし,出羽燦々,60,3,1.4,,-0.31,-0.52,17
7595,山法師 純米吟醸 あらばしり,3512,純米吟醸 あらばしり,出羽燦々,60,4,1.4,,-0.4,-0.57,16.5
7598,山法師 純米吟醸 うすにごり 生,3512,純米吟醸 うすにごり 生,出羽燦々,60,3,1.4,,-0.31,-0.52,
7597,山法師 山形酒八六号,3512,,山形酒八六号,60,3,1.4,,-0.31,-0.52,15.3
7601,山法師 純米 中汲み 生々,3512,純米酒 中汲み 生々,出羽燦々,60,3,1.2,,-0.08,-0.9,14.8
7592,山法師 純米吟醸,3512,純米吟醸,出羽燦々,60,1,1.2,,0.11,-0.81,14.8
7599,山法師 蔵囲い 夏吟醸 生,3512,吟醸 生,出羽燦々,60,4,1.2,,-0.17,-0.95,15
7593,山法師 吟醸,3512,吟醸,出羽燦々,60,4,1.1,,-0.06,-1.13,14.8
7596,山法師 純米 爆雷 辛口,3512,純米酒,出羽の里,70,28,1.7,,-2.94,-1.07,18.5
7600,山法師 純米 生原酒,3512,純米 生原酒,出羽の里,70,1,1.5,,-0.24,-0.25,17.5
7602,山法師 純米 アベリア酵母,3512,純米酒,出羽の里,70,2,1.4,,-0.22,-0.48,15
8729,Nature-H Pasteurization,3638,,,,,,,,,
8730,Nature-H Kimoto,3638,,,,,,,,,
8731,Nature-H Chemical free,3638,,,,,,,,,
8732,Nature-H Sparkling,3638,,,,,,,,,
8728,Nature-H Barrel,3638,,,,,,,,,
3547,楯野川 一雫入魂,229,雫取り 大吟醸 一年熟成,山田錦,35,3,1.4,,-0.31,-0.52,16.5
3549,楯野川 純米大吟醸 限定 斗瓶囲い 大井屋,229,純米大吟醸,山田錦,35,4,1.3,,-0.29,-0.76,18.5
3548,楯野川 大吟醸 限定 斗瓶囲い 山田錦 35%,229,大吟醸,山田錦（兵庫県産）,35,4,1.3,,-0.29,-0.76,18.5
1021,楯野川 大吟醸 限定 斗瓶囲い 山田錦 40%,229,大吟醸,山田錦（兵庫県産）,40,4,1.25,,,,18.5
3550,楯野川 大吟醸 限定 斗瓶囲い 雄町 40%,229,大吟醸,雄町（岡山県産）,40,5,1.3,,-0.38,-0.8,18.5
3551,楯野川 純米大吟醸 限定 斗瓶囲い 出羽燦々 40%,229,純米大吟醸,出羽燦々,40,3,1.3,,-0.2,-0.71,17.5
1035,楯野川 大吟醸 中取り 山田錦 40%,229,大吟醸,山田錦（兵庫県産）,40,3.5,1.4,,,,16.5
1022,楯野川 大吟醸 山田錦 35%,229,大吟醸,山田錦（兵庫県産）,35,4,1.3,,-0.29,-0.76,16.5
3552,楯野川 純米吟醸 限定 斗瓶囲い 山田錦 50%,229,純米吟醸,山田錦（兵庫県産）,50,3,1.6,,-0.54,-0.15,18.5
3553,楯野川 大吟醸 中取り 雄町 40%,229,大吟醸,雄町（岡山県産）,40,5,1.3,,-0.38,-0.8,16.5
3554,楯野川 純米大吟醸 出羽燦々 40%,229,純米大吟醸,出羽燦々,40,2.5,1.4,,,,15.5
1025,楯野川 純米吟醸 雄町,229,純米吟醸,雄町（岡山県産）,55,3,1.4,,-0.31,-0.52,16.5
3555,楯野川 吟醸 山田錦,229,吟醸,山田錦,55,4.5,1.5,,,,16.5
3565,楯野川 純米吟醸 中取り 山田錦 50%,229,純米吟醸,山田錦（兵庫県産）,50,2.5,1.6,,,,16.5
1026,楯野川 純米吟醸 山田錦 50%,229,純米吟醸,山田錦（兵庫県産）,50,3,1.4,,-0.31,-0.52,16.5
3556,楯野川 大吟醸 番外編 攻め,229,大吟醸,雄町,40,5,1.3,,-0.38,-0.8,16.5
1027,楯野川 特吟 山田錦,229,吟醸酒,山田錦（兵庫県産）,50,3,1.5,,-0.43,-0.34,16.5
1023,楯野川 純米吟醸 山田錦 55%,229,純米吟醸,山田錦,55,3,1.5,,-0.43,-0.34,16
3557,楯野川 純米吟醸 八反錦,229,純米吟醸,八反錦,50,3,1.5,,-0.43,-0.34,16.5
3560,楯野川 純米吟醸 清水田,229,純米吟醸,山田錦（庄内産・自社栽培）,55,3.5,1.5,,,,16.5
3558,楯野川 純米吟醸 にごり,229,純米吟醸,麹米：山田錦、掛米：出羽燦々,60,3,1.7,,-0.66,0.04,17.5
3559,楯野川 中取り 純米 山田錦 冷卸,229,純米酒,山田錦,60,3.5,1.6,,,,16.5
6115,楯野川 たてにゃん,229,純米大吟醸,国産米,50,-2,,,,,15.5
1029,楯野川 純米吟醸 太古米 出羽燦々,229,純米吟醸,出羽燦々（太古活性農法）,50,4.5,1.5,,,,16.5
1028,楯野川 純米吟醸 太古米 美山錦,229,純米吟醸,美山錦（太古活性農法）,50,4,1.5,,-0.52,-0.38,
1031,楯野川 純米吟醸 出羽燦々,229,純米吟醸,出羽燦々,50,3,1.4,,-0.31,-0.52,
3562,楯野川 純米吟醸 中取り 美山錦,229,純米吟醸,美山錦,50,3,1.5,,-0.43,-0.34,15.5
1033,楯野川 激流 吟醸 槽口 生,229,吟醸酒,出羽燦々（山形県産）,55,4,1.4,,-0.4,-0.57,16.5
3561,楯野川 純米吟醸 出羽の里,229,純米吟醸,出羽の里,60,3,1.65,,,,15.5
1032,楯野川 吟醸,229,吟醸,麹米：山田錦、掛米：美山錦 ,,,,,,,15.5
3563,楯野川 吟醸 出羽燦々 しぼりたて 生,229,吟醸,出羽燦々,50,4,1.3,,-0.29,-0.76,
1024,楯野川 中取り 純米 美山錦,229,純米,美山錦（秋田県産）,55,3,1.55,,,,16.5
1034,楯野川 中取り 純米 出羽燦々,229,純米,出羽燦々,55,2.5,1.5,,,,16.5
3564,楯野川 清流 中取り,229,,出羽燦々,60,3,1.45,,,,15.5
1030,楯野川 清流,229,吟醸,出羽燦々、夢錦,60,4,1.5,,-0.52,-0.38,15.5
6248,亀治好日 純米吟醸,3083,純米吟醸,亀の尾,55,5,1.5,,-0.61,-0.43,15.5
7120,別嬪 純米大吟醸,3085,純米大吟醸,山酒104号（山形県産）,40,3,1.2,,-0.08,-0.9,16.6
7122,別嬪 純米吟醸 うすにごり,3085,純米吟醸 うすにごり,つや姫（山形県産）,50,6,1.4,,-0.59,-0.66,16.5
7121,別嬪 純米酒,3085,純米酒,山形県産米,65,6,1.5,,-0.71,-0.47,15
6250,恋の川 特別純米酒,3086,特別純米酒,,55,9.5,1.5,0.9,-1.03,-0.63,15.3
6254,余目 純米酒,3090,純米酒,庄内町産米,60,3,1.2,,-0.08,-0.9,15.5
6246,鯉川 KOIKAWA 純米大吟醸 亀の尾,71,純米大吟醸,亀の尾（山形県産）,45,5,1.7,1.2,-0.85,-0.05,16.6
6256,鯉川 山居倉庫,71,純米大吟醸,亀の尾,45,,,,,,
6252,鯉川 阿部亀治,71,純米大吟醸,亀の尾,40,3,1.7,,-0.66,0.04,17.5
6242,鯉川 大吟醸 全国新酒鑑評会 入賞酒,71,大吟醸,山田錦,35,1,1.4,,-0.13,-0.43,16.6
6245,鯉川 純米大吟醸 亀の尾,71,純米大吟醸,亀の尾（山形県産）,,,,,,,
6249,鯉川 純米吟醸 DEWA33,71,純米吟醸,出羽燦々,50,3,1.7,,-0.66,0.04,15.5
6247,鯉川 純米酒,71,純米酒,雪化粧（山形県産）,60,5.5,1.6,1,-0.78,-0.26,15.3
6253,鯉川 琥珀酒,71,本醸造 にごり酒,,,,,,,,
6251,鯉川 KOIKAWA 精選 カップ,71,清酒,,,,,,,,15.5
2943,麓井 五年熟成大吟醸 つぶより圓,232,五年熟成大吟醸,掛米：美山錦、麹米：山田錦,50,3,1.3,1.025,-0.2,-0.71,16.5
