sakecode,sakename,meigaracode,syurui,genryoumai,seimaibuai,nihonsyudo,sando,aminosando,amakardo,noutando,alcohol
5333,新雪物語 大吟醸 華甲,2190,大吟醸,越淡麗,50,1.2,1.3,1.1,-0.03,-0.63,15.5
5331,新雪物語 純米吟醸 生原酒,2190,純米吟醸,五百万石,60,4.5,1.7,1.2,-0.8,-0.03,20.2
5332,新雪物語 純米吟醸,2190,純米吟醸,五百万石,60,4.5,1.5,1.2,-0.57,-0.4,15.5
5342,雪原の灯 純米にごり,2492,発泡性 純米にごり,,65,-13,3,1.5,-0.67,3.22,16.5
1221,鶴の友 大吟醸 上々の諸白,554,大吟醸,山田錦,,5,1.1,,-0.15,-1.18,16.5
1223,鶴の友 特別本醸造 特撰,554,特別本醸造,五百万石（新潟県産）,,5,1.2,1.1,-0.27,-0.99,16.4
1222,鶴の友 純米酒,554,純米酒,五百万石（新潟県産）,,5,1.2,,-0.27,-0.99,15.4
1224,鶴の友 本醸造 別撰,554,本醸造,五百万石（新潟県産）,,5,1.1,,-0.15,-1.18,16.1
1225,鶴の友 上白,554,普通酒,五百万石（新潟県産）,,5,1.1,,-0.15,-1.18,15.4
8514,おむすび 柳 純米酒,3595,純米酒,コシヒカリ（新潟市産）,60,,,,,,15
3937,甘雨 純米酒,1404,純米酒,,,3,1.5,1.6,-0.43,-0.34,15.5
3938,甘雨 本醸造酒,1404,本醸造,,,4,1.3,1.3,-0.29,-0.76,14.5
3936,甘雨 上撰,1404,普通酒,,,2,1.1,1.1,0.13,-1.04,15.3
3932,越乃八豊 大吟醸,1403,大吟醸,,,5,1.4,1.1,-0.5,-0.61,16.5
3933,越乃八豊 吟醸,1403,吟醸,,,5,1.2,1.2,-0.27,-0.99,16
3934,越乃八豊 純米,1403,純米酒,,,5,1.5,1.5,-0.61,-0.43,14.5
3935,越乃八豊 本醸造,1403,本醸造,,,4,1.3,1.3,-0.29,-0.76,15.5
9333,至 純米吟醸,2839,純米吟醸,山田錦、越淡麗,55,,,,,,
9335,至 純米にごり,2839,純米酒 にごり,五百万石,60,,,,,,15.5
9334,至 純米酒,2839,純米酒,五百万石,60,2,,,,,15
7604,真野鶴 錦の真野鶴,147,大吟醸 雫酒,山田錦,35,,,,,,16
7618,真野鶴 佐渡金山 秘蔵古酒 大吟醸,147,大吟醸 古酒,山田錦,40,5.5,,,,,16.5
7603,真野鶴 万穂,147,大吟醸,山田錦,35,,,,,,16
7608,真野鶴 実来,147,純米大吟醸,越淡麗,35,-1,1.15,1.1,0.35,-0.81,16
7605,真野鶴 与三作,147,大吟醸,山田錦,40,,,,,,16
7617,真野鶴 大吟醸 白とっくり,147,大吟醸,五百万石,50,,,,,,15
7606,真野鶴 大吟醸,147,大吟醸,五百万石,50,,,,,,15
7621,真野鶴 緑紋生,147,純吟 中取り 無ろ過 生原酒,五百万石,55,3,,,,,17.6
7620,真野鶴 青紋生,147,吟醸 中取り 無ろ過 生原酒,五百万石,55,8.5,,,,,18.8
7609,真野鶴 純米吟醸 原酒,147,純米吟醸 原酒,五百万石,55,,,,,,17.5
8780,真野鶴 超辛口 純米原酒 無濾過生,147,純米酒 無濾過 生原酒,麹米：五百万石、掛米：こしいぶき,60,20,1.3,,-1.75,-1.47,17.5
7616,真野鶴 砂金,147,純金入り 本醸造,こしいぶき,60,,,,,,15
7619,真野鶴 赤紋生,147,純米 中取り 無濾過 生原酒,五百万石,60,5,1.6,,-0.73,-0.24,18.5
7607,真野鶴 辛口吟醸,147,吟醸 生貯蔵酒,五百万石,55,,,,,,15
7611,真野鶴 壱穂,147,特別純米酒,五百万石,60,,,,,,15
7615,真野鶴 たれ口一番 生 純米,147,純米酒 生貯蔵,,60,,,,,,18
7614,真野鶴 鬼ころし,147,本醸造,麹米：五百万石、掛米：こしいぶき,60,,,,,,15
7610,真野鶴 辛口 純米酒,147,純米酒,麹米：五百万石、掛米：こしいぶき,60,,,,,,15
7612,真野鶴 純米 鶴,147,純米酒,こしいぶき,65,,,,,,15.5
7613,真野鶴 辛口 鶴,147,普通酒,こしいぶき,65,,,,,,15.5
7466,NOBU 大吟醸 TK40,3478,大吟醸,高嶺錦,40,4,1.2,1.1,-0.17,-0.95,16.5
1792,NOBU 大吟醸 YK50,3478,大吟醸,山田錦,50,5,1.2,1.1,-0.27,-0.99,16.45
1797,NOBU 純米大吟醸,3478,純米大吟醸,五百万石,50,4,1.6,1.2,-0.64,-0.19,15.45
1790,北雪 大吟醸 YK35 雫酒 チタン容器入り,616,大吟醸,山田錦,,5,1.2,1.1,-0.27,-0.99,17.45
6337,北雪 光,616,純米大吟醸,越淡麗（新潟県産）,40,1.5,1.3,1.1,-0.06,-0.64,17
6338,北雪 信,616,大吟醸,山田錦（兵庫県産）,35,3,1.2,1,-0.08,-0.9,16.5
1791,北雪 大吟醸 YK35,616,大吟醸,山田錦,35,5,1.2,1,-0.27,-0.99,16.45
1793,北雪 大吟醸 YK50,616,大吟醸,山田錦,50,5,1.1,1.1,-0.15,-1.18,16.45
1795,北雪 大吟醸原酒 Bon Rouge,616,大吟醸原酒,五百万石,50,4.5,1.5,0.7,-0.57,-0.4,16.45
1796,北雪 大吟醸 海洋深層水仕込 Bon Mer,616,大吟醸,五百万石,50,-17,1.3,0.7,1.68,0.2,13.45
